# Truth table
# Generated from circuit ProvaCircuit
# Exported on Sat Oct 03 17:57:30 CEST 2020

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

 M[1..0] I[4..0] | PF[3..0] PT[3..0] C[2..0] G[1..0] SH CM B0 B1 M0 M1
    10    00110  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    10    00111  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    10    01000  |    1010     1010     000     00   0  0  0  0  0  0   #movw_ar,
    10    01001  |    1010     1010     000     00   0  0  0  0  0  0   #movsb_ar,
    10    01010  |    1010     1010     000     00   0  0  0  0  0  0   #movw_ra,
    10    01011  |    1010     1010     000     00   0  0  0  0  0  0   #movb_ra,
    10    01100  |    1010     1010     000     00   0  0  0  0  0  0   #mov_kr,
    10    01101  |    1001     1001     000     01   0  0  0  0  0  1   #sub_kr,
    10    01110  |    0110     0110     000     10   0  0  0  0  0  1   #add_kr,
    10    01111  |    0110     0110     000     10   0  0  0  0  0  1   #lea_qr,
    10    10000  |    0110     0110     000     10   0  0  0  0  0  1   #movw_qr,
    10    10001  |    0110     0110     000     10   0  0  0  0  0  1   #movsb_qr,
    10    10010  |    0110     0110     000     10   0  0  0  0  0  1   #movw_rq,
    10    10011  |    0110     0110     000     10   0  0  0  0  0  1   #movb_rq,
    10    10100  |    0110     0110     000     10   0  0  0  0  0  1   #lea_mr,
    10    10101  |    0110     0110     000     10   0  0  0  0  0  1   #movw_mr,
    10    10110  |    0110     0110     000     10   0  0  0  0  0  1   #movzb_mr,
    10    10111  |    0110     0110     000     10   0  0  0  0  0  1   #movsb_mr,
    10    11000  |    0110     0110     000     10   0  0  0  0  0  1   #movw_rm,
    10    11001  |    0110     0110     000     10   0  0  0  0  0  1   #movb_rm,
    10    11010  |    xxxx     xxxx     xxx     xx   0  0  0  0  0  x   #reserved,
    10    11011  |    1000     1000     000     00   0  0  0  0  0  1   #and_kr,
    10    11100  |    1001     1001     000     01   0  1  0  0  0  1   #cmp_crk,
    10    11101  |    1001     1001     x11     01   0  1  0  0  0  1   #cmpc_crk,
    10    11110  |    1010     1010     000     00   0  0  0  0  0  0   #call_k,
    10    11111  |    xxxx     xxxx     000     00   0  0  0  0  0  0   #_pfix,
    11    00000  |    xxxx     xxxx     xxx     xx   0  0  0  0  0  0   #wait,
    11    00001  |    1010     1010     xxx     xx   0  0  0  0  0  0   #load_w,
    11    00010  |    1010     1010     xxx     xx   0  0  0  0  0  0   #load_zb,
    11    00011  |    1010     1010     xxx     xx   0  0  0  0  0  0   #load_sb,
    11    00100  |    1010     1010     xxx     xx   0  0  0  0  0  0   #store_w,
    11    00101  |    1010     1010     xxx     xx   0  0  0  0  0  0   #store_b,
    11    00110  |    1010     1010     xxx     xx   0  0  0  0  0  0   #call_k1,
    11    00111  |    1010     1010     xxx     xx   0  0  0  0  0  0   #call_r1,
    11    01000  |    1010     1010     xxx     xx   0  0  0  0  0  0   #ret1,
    11    01001  |    1010     1010     xxx     xx   0  0  0  0  0  0   #movw_pr_1
    11    01010  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    11    01011  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    11    01100  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    11    01101  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    11    01110  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    11    01111  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    11    10000  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    11    10001  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    11    10010  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    11    10011  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    11    10100  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    11    10101  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    11    10110  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    11    10111  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    11    11000  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    11    11001  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    11    11010  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    11    11011  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    11    11100  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    11    11101  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    11    11110  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
    11    11111  |    xxxx     xxxx     xxx     xx   x  x  x  x  x  x   #
